Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
A0A075B6H7	4	IGKV3-7	0.9998	sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7	Homo sapiens		25.38376352571196	25.20196588202335	25.39573377656025	25.432554990266958	26.057708518559	25.05397201795581	25.57649923944689	25.654689622926032	25.372953380998812	25.655014114590593	25.641848009637844	25.438830713881995	25.33300729104438	26.494479306774217	NA	25.306145351389556	25.4228452398167
A0A075B6H9	5	IGLV4-69	0.9995	sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	Immunoglobulin lambda variable 4-69	Homo sapiens		29.114428299321627	28.95035132023577	29.8228536427451	29.610027191013994	29.53702467405098	29.449657726264373	28.84859548023176	29.914246571794724	29.413200162312215	29.00431607405054	28.838772128307777	28.599188094958585	29.14620756036032	NA	NA	29.021534960899093	29.124262616101152
A0A075B6I0	3	IGLV8-61	0.9986	sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	Immunoglobulin lambda variable 8-61	Homo sapiens		27.35463869867424	27.53608824615042	28.54878480142118	26.580168985255895	27.43781912671062	27.431388125227823	26.839643125990968	27.268449959514292	26.57448718821763	28.215255788097686	26.57432326270649	26.75553897499498	NA	NA	NA	27.247007962758747	27.513668347468652
A0A075B6I1	1	IGLV4-60	0.9994	sp|A0A075B6I1|LV460_HUMAN	A0A075B6I1	LV460_HUMAN	Immunoglobulin lambda variable 4-60	Homo sapiens		20.860567192521735	21.13979921236661	NA	20.958662659547766	21.904179752459733	19.862787795900253	21.188803108927953	21.20104984289544	20.128850129261863	20.950643092287184	21.098258846498435	20.35880829356753	NA	NA	NA	20.800196153724325	20.690597405426644
A0A075B6J9	2	IGLV2-18	0.9964	sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	Immunoglobulin lambda variable 2-18	Homo sapiens		24.04607713423197	22.38769216499353	25.302123838965606	25.12897840711672	24.02297518677744	23.8929128743339	24.49497954829697	24.70157648350933	24.329613892275503	24.30966178998599	24.581850387353388	23.439945733546782	23.823502746312265	NA	23.728456902948512	24.20223425626111	24.294864555493955
A0A075B6K0	2	IGLV3-16	0.9937	sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	Immunoglobulin lambda variable 3-16	Homo sapiens		22.57674345804488	21.374834752781975	22.29616984527194	21.39597591285882	21.699732795685698	21.512931905717686	23.785535618955755	22.113697804880232	22.61187241156891	20.930097039790418	22.1490756713289	20.87885589021118	20.413969475771946	NA	NA	22.249994720963016	22.066219133981853
A0A075B6K4	4	IGLV3-10	0.9995	sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	Immunoglobulin lambda variable 3-10	Homo sapiens		27.998497920824303	26.585909117772005	28.457008031223605	28.20186076699569	28.978839545524462	28.011889795414778	28.37951622171814	29.006365518948517	27.891534854908674	27.360399794785423	28.683992820667033	26.538023156440453	26.12153905132335	NA	NA	28.024490771417547	27.94444472910339
A0A075B6K5	5	IGLV3-9	1.0	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	Immunoglobulin lambda variable 3-9	Homo sapiens	sp|P80748|LV321_HUMAN	24.651917381035723	23.549648652420668	25.418040977762686	25.032541968699714	25.428521283354925	25.263707824930417	24.18359521167132	23.697147876583635	24.401364858029737	26.159460995021593	25.05440028837204	24.184263402676848	24.928402819706818	NA	NA	25.01377400584121	24.8022194977167
A0A075B6K6	2	IGLV4-3	0.9999	sp|A0A075B6K6|LV403_HUMAN	A0A075B6K6	LV403_HUMAN	Immunoglobulin lambda variable 4-3	Homo sapiens		22.181350644986477	22.950776585727144	21.228065758482987	22.263295150189784	21.716339235983526	22.60331978574541	21.59349148388539	22.36692931719629	22.19578962881922	22.304761695522366	22.938977795603062	21.10913079099448	21.507374055516895	NA	NA	22.786226644103085	21.909103436989945
A0A075B6Q5	2	IGHV3-64	0.9976	sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	Immunoglobulin heavy variable 3-64	Homo sapiens		24.914815658085836	22.967085272781105	24.685569707338583	25.01559039672412	24.560746519253275	26.87129029991802	24.278602966979246	25.503474139553997	24.098686739304718	25.03207542781161	25.6301908243796	24.779253964676517	24.096461499765283	NA	NA	25.049251398669224	24.38206205627417
