Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
A0A075B6H7	5	IGKV3-7	0.9994	sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7	Homo sapiens		30.12719661598457	30.463721492426235	30.34873272960656	30.211464862060026	30.785582326873524	30.36075594283759	30.190263235375756	30.28124403997782	30.56660717313615	29.76610724322706	30.72821016140905	30.206651288028556	30.000757645728697	NA	NA	29.688662852616417	29.90244433749476
A0A075B6H9	2	IGLV4-69	0.9996	sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	Immunoglobulin lambda variable 4-69	Homo sapiens		21.565146757780752	22.400066281144486	21.18372921793287	21.26245456092771	21.90924590959671	22.59531339497015	21.24953213776494	21.988428886939083	21.22653733117243	21.400146722765676	22.002583486042916	21.021424226063107	21.463720851740327	NA	21.21972411808253	21.551905446460335	21.953198421436532
A0A075B6I0	2	IGLV8-61	0.9989	sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	Immunoglobulin lambda variable 8-61	Homo sapiens		25.750163210394728	25.581486144053127	26.128227069689547	26.527628564543733	25.72071126963438	26.59545181255389	25.47399010211599	26.13838270642845	25.355837496354013	25.891931736604572	25.690717339051254	25.722519970243354	26.67365441934857	NA	NA	25.301203970145757	25.45182800612204
A0A075B6I1	2	IGLV4-60	0.9933	sp|A0A075B6I1|LV460_HUMAN	A0A075B6I1	LV460_HUMAN	Immunoglobulin lambda variable 4-60	Homo sapiens		27.388571296960784	27.79615214380956	26.939273181821807	25.908958855973687	26.48208859656881	28.841058404232783	26.965247352213396	28.56673856598622	27.154043243332662	27.207589107968197	27.499894591882637	27.181500744394146	27.818104366499064	NA	NA	27.200008737233684	27.755187236147833
A0A075B6I4	1	IGLV10-54	1.0	sp|A0A075B6I4|LVX54_HUMAN	A0A075B6I4	LVX54_HUMAN	Immunoglobulin lambda variable 10-54	Homo sapiens		15.03483441922595	14.603971448464618	13.68838783652328	NA	13.413950364802702	17.83912487406823	14.713705736414015	15.67449736306535	14.149816757382144	13.303146627974488	NA	13.410285706755559	14.513860073483785	NA	NA	14.323658377654231	14.056929819981006
A0A075B6J9	1	IGLV2-18	0.9989	sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	Immunoglobulin lambda variable 2-18	Homo sapiens		26.149783498624966	27.34291808668089	26.35222828748412	24.596851755297234	26.37290928665795	25.30866237752149	25.643567816174606	26.10869076695204	25.593682273498413	27.73542909200808	25.647633959812637	26.168841356311937	26.547997547743172	NA	24.082790457622007	26.20362845225638	26.033030274053093
A0A075B6K0	1	IGLV3-16	0.9954	sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	Immunoglobulin lambda variable 3-16	Homo sapiens		21.510670221007388	20.664487582246768	22.035523060979227	22.049618410317965	21.693646427104838	21.559405209319717	21.37520699805461	22.05910325846331	22.66604609720317	21.110061388233465	20.784419444061133	21.766611374016136	21.22902900407034	NA	NA	21.756158572900823	21.578410867172295
A0A075B6K4	5	IGLV3-10	0.9987	sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	Immunoglobulin lambda variable 3-10	Homo sapiens		27.76773133551588	28.12848409546318	27.79167757903938	28.16206811597434	28.421387965645053	28.484056599559164	27.132315332903605	28.03837784692888	28.70379666515378	27.58646530551025	27.87449985425555	27.693979496340614	27.406893648173885	NA	NA	27.708407430381925	27.581813930532544
A0A075B6K5	6	IGLV3-9	1.0	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	Immunoglobulin lambda variable 3-9	Homo sapiens		27.091981973950105	26.622982478794036	26.915812883928986	27.205490949444112	27.983791587243108	27.74528027884895	25.576384728146916	27.489693680353668	27.912038844332066	27.372835351929325	26.818408626849763	26.822546800459346	27.069711615528924	NA	26.629228004851864	27.06445344378949	27.07129074823095
A0A075B6Q5	1	IGHV3-64	0.9883	sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	Immunoglobulin heavy variable 3-64	Homo sapiens		24.712192233210995	25.314880955212697	24.46279969610317	25.48971039368875	23.884744683395127	NA	23.871493254727483	25.279415232538323	26.1022677000785	23.554014364582105	24.948526235331315	24.723240680808075	NA	NA	NA	25.1943337081846	24.45105441969645
A0A075B6R2	4	IGHV4-4	1.0	sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	Immunoglobulin heavy variable 4-4	Homo sapiens		25.16565194891709	25.098880007364368	25.20188774449322	25.37851151954013	25.275480929644715	24.78275787531857	25.013026255290068	25.54261838682776	26.38126976179298	25.601391069757693	25.537491300352272	24.792811367497183	25.07182296590185	NA	26.485993431423385	25.209029514664227	24.994889676374186
A0A075B6R9	1	IGKV2D-24	0.9962	sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24	Homo sapiens	sp|A0A0C4DH68|KV224_HUMAN	26.07096949063156	26.067740709444358	25.247555172175396	26.39354481364482	26.59098057143515	26.18477975936459	26.50338509204788	26.284984877391473	26.040510780787745	26.483798647055735	26.030461198026867	26.699614513075026	26.303620288517862	NA	NA	26.235846778027494	26.04114564985663
A0A075B6S5	2	IGKV1-27	0.9997	sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	Immunoglobulin kappa variable 1-27	Homo sapiens		24.986734574172623	25.75254960462324	25.157609716831196	25.026958837067124	25.341267197028184	25.21206439177679	25.3870519187309	24.9248842087342	25.521345035029412	25.17315195210291	25.22718145805005	25.038943995191257	24.775312672975247	NA	NA	24.800906255154548	24.56169515376151
A0A087WSY6	2	IGKV3D-15	0.9917	sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15	Homo sapiens		21.364744097502015	21.001406558716724	21.22098424172403	19.941780489985522	22.317625053474	21.662109145511664	22.422090248492772	21.6969728070422	22.451492581707797	20.32151703999668	20.65686898789361	21.04394128370731	20.876197971483347	NA	NA	21.19069462922915	20.850778802660606
A0A087WW87	9	IGKV2-40	1.0	sp|A0A087WW87|KV240_HUMAN	A0A087WW87	KV240_HUMAN	Immunoglobulin kappa variable 2-40	Homo sapiens	sp|P01614|KVD40_HUMAN	26.651149201849105	26.848760549312402	26.527337642471185	26.71321736720543	27.09832790661056	26.51561168808754	26.589656070490655	27.41886588261344	26.86707638497135	26.920872164395377	26.651149201849105	26.551448300445006	26.76899621225005	NA	NA	26.625063170354753	26.50452809736242
A0A0A0MS14	2	IGHV1-45	1.0	sp|A0A0A0MS14|HV145_HUMAN	A0A0A0MS14	HV145_HUMAN	Immunoglobulin heavy variable 1-45	Homo sapiens		23.571305685325896	22.387904108378407	22.770110634330756	24.46003210638239	23.53994666018281	24.483405742651748	22.143212725929473	23.605169382834855	23.250994035089388	23.206821111673417	22.942320520408927	23.640436056110353	24.321816033901374	NA	NA	23.849132743303233	23.804417526010813
A0A0A0MS15	3	IGHV3-49	1.0	sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	Immunoglobulin heavy variable 3-49	Homo sapiens		28.58211566837774	29.62736950144413	29.324099960183325	28.454640483195032	28.17212473188349	29.193213769942368	28.62189412825857	29.264429104178678	29.225622423543477	28.328700310688262	28.405339937729487	28.020281044261097	28.19938850397126	NA	NA	28.222893906565	28.79365435140147
A0A0A0MT36	2	IGKV6D-21	0.9766	sp|A0A0A0MT36|KVD21_HUMAN	A0A0A0MT36	KVD21_HUMAN	Immunoglobulin kappa variable 6D-21	Homo sapiens	sp|A0A0C4DH26|KVD41_HUMAN	23.495789035638452	24.27962141833742	21.820559563432905	23.24339152461315	24.491725508320048	23.477494468862712	22.043567713240773	24.7827744206183	23.79768751991963	23.41542686877809	NA	22.443736306190278	22.778037779295918	NA	NA	23.561790624445123	23.863358278195076
A0A0B4J1U3	2	IGLV1-36	1.0	sp|A0A0B4J1U3|LV136_HUMAN	A0A0B4J1U3	LV136_HUMAN	Immunoglobulin lambda variable 1-36	Homo sapiens		21.700788586661428	23.166630911935396	21.617427425007577	21.25802588212378	22.613666645487246	21.42933142938388	20.856006481299552	21.675022922039393	21.50645568433267	21.813330683927582	NA	20.70201529607414	NA	NA	NA	21.035317006539483	NA
